Pelicula,Distribuidora,Taquilla en EEUU,Taquilla fuera EEUU,Recaudacion Mundial,Presupuesto,Anyo Estreno,Director
Harry Potter y el misterio del Príncipe,Warner Bros. Pictures,"$302,334,374 (32,4%)","$632,185,012 (67,6%)","$934,519,387",$250 000 000,2009,David Yates
Shrek 2,DreamWorks Pictures,"$441,226,247 (47,5%)","$487,534,523 (52,5%)","$928,760,770",$150 000 000,2004,Andrew Adamson
Harry Potter y la cámara secreta,Warner Bros. Pictures,"$262,641,637 (28,4%)","$663,026,742 (71,6%)","$925,668,380",$100 000 000,2002,Chris Columbus
Bohemian Rhapsody,20th Century Fox,"$216,668,042 (23,8%)","$694,141,269 (76,2%)","$910,809,311",$52 000 000,2018,Bryan Singer
The Battle at Lake Changjin,,"$342,411 (--%)","$902,206,065 (100%)","$902,548,476",$200 000 000,2021,Chen Kaige
El Señor de los Anillos: la Comunidad del Anillo,New Line Cinema,"$316,115,420 (35,2%)","$582,089,000 (64,8%)","$898,204,420",$93 000 000,2001,Peter Jackson
Harry Potter y el cáliz de fuego,Warner Bros. Pictures,"$290,469,928 (32,4%)","$606,345,177 (67,6%)","$896,815,106",$150 000 000,2005,Mike Newell
Spider-Man 3,Sony Pictures Releasing,"$336,530,303 (37,6%)","$558,453,070 (62,4%)","$894,983,373",$258 000 000-310 000 000,2007,Sam Raimi
La vida secreta de tus mascotas,Universal Pictures,"$368,384,330 (41,2%)","$525,944,139 (57,9%)","$894,328,469",$75 000 000,2016,Chris Renaud
Ice Age 3: Dawn of the Dinosaurs,20th Century Fox,"$196,573,705 (22,2%)","$690,113,112 (77,8%)","$886,686,817",$90 000 000,2009,Carlos Saldhana
Spectre,Sony Pictures Releasing,"$200,074,609 (22,7%)","$680,630,703 (77,3%)","$880,705,312",$245 000 000,2015,Sam Mendes
Spider-Man: Homecoming,Sony Pictures Releasing,"$334,201,140 (38%)","$545,965,784 (62%)","$880,166,924",$175 000 000,2017,Jon Watts
Ice Age 4: Continental Drift,20th Century Fox,"$161,321,843 (18,4%)","$715,922,939 (81,6%)","$877,244,782",$95 000 000,2012,Steve Martino
Batman v Superman: Dawn of Justice,Warner Bros. Pictures,"$330,360,194 (37,8%)","$543,277,334 (62,2%)","$873,637,528",$250 000 000,2016,Zack Snyder
Wolf Warrior 2,,"$2,721,100 (0,3%)","$867,604,339 (99,7%)","$870,325,439",$30 100 000,2017,Wu Jing
Inception,Warner Bros. Pictures,"$292,587,330 (33.6%)","$544,260,772 (66.4%)","$870,110,523",$160 000 000,2010,Christopher Nolan
Star Wars: Episodio lll - La venganza de los Sith,20th Century Fox,"$380,270,577 (43,8%)","$488,119,983 (56,2%)","$868,390,560",$113 000 000,2005,George Lucas
Los juegos del hambre: en llamas,Lionsgate,"$424,668,047 (49,1%)","$440,343,699 (50,9%)","$865,011,746",$130 000 000,2013,Francis Lawrence
Guardianes de la Galaxia vol. 2,Walt Disney Studios Motion Pictures,"$389,813,101 (45,1%)","$473,942,950 (54,9%)","$863,756,051",$200 000 000,2017,James Gunn
Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,"$453,829,060 (52.8%)","$405,379,776 (47.2%)","$859,208,836",$250 000 000,2022,Ryan Coogler
Inside Out,Walt Disney Studios Motion Pictures,"$356,921,711 (41,6%)","$501,926,308 (58,4%)","$858,848,019",$175 000 000,2015,Pete Docter
Venom,Sony Pictures Releasing,"$213,515,506 (24,9%)","$642,569,645 (75,1%)","$856,085,151",$100 000 000,2018,Ruben Fleischer
Thor: Ragnarok,Walt Disney Studios Motion Pictures,"$315,058,289 (36,8%)","$540,243,517 (63,2%)","$855,301,806",$180 000 000,2017,Taika Waititi
The Twilight Saga: Breaking Dawn - Part 2,Lionsgate,"$292,324,737 (34,4%)","$556,269,948 (65,6%)","$848,593,948",$120 000 000,2012,Bill Condon
Guardianes de la Galaxia vol. 3,Walt Disney Studios Motion Pictures,"$358,826,794 (42,5%)","$484,791,750 (57,5%)","$843,618,544",$250 000 000,2023,James Gunn
Transformers: la venganza de los caídos,Paramount Pictures,"$402,111,870 (48,2%)","$434,191,823 (51,7%)","$836,303,693",$200 000 000,2009,Michael Bay
Spider-Man,Sony Pictures Releasing,"$407,022,860 (49,3%)","$418,002,176 (50,7%)","$825,025,036",$140 000 000,2002,Sam Raimi
Wonder Woman,Warner Bros. Pictures,"$412,845,172 (50,2%)","$410,009,114 (49,8%)","$822,854,286",$149 000 000,2017,Patty Jenkins
"Hi, Mom",,—,"$822,009,764 (100%)","$822,009,764",$59 000 000,2021,Ling Jia
Independence Day,20th Century Fox,"$306,169,268 (37,5%)","$511,231,623 (62,5%)","$817,400,891",$75 000 000,1996,Roland Emmerich
Coco,Walt Disney Studios Motion Pictures,"$210,460,015 (25,8%)","$603,877,039 (74,2%)","$814,337,054",$175 000 000,2017,Lee Unkrich
Animales fantásticos y dónde encontrarlos,Warner Bros. Pictures,"$234,037,575 (28,7%)","$580,006,426 (71,3%)","$814,044,001",$180 000 000,2016,David Yates
Shrek tercero,Paramount Pictures,"$322,719,944 (39,7%)","$490,647,436 (60,3%)","$813,367,380",$160 000 000,2007,Chris Miller
Jumanji: The Next Level,Sony Pictures Releasing,"$320,314,960 (40%)","$481,378,969 (60%)","$801,693,929",$125 000 000,2019,Jake Kasdan
Harry Potter y el prisionero de Azkaban,Warner Bros. Pictures,"$250,105,651 (31,4%)","$547,555,114 (68,6%)","$797,660,766",$130 000 000,2004,Alfonso Cuarón
